0.53767,0.84038,0.18323,0.079934
0.86217,-0.54453,0.30706,0.67698
0.31877,0.30352,0.13517,0.85773
-1.3077,-0.60033,0.51525,-0.69116
-0.43359,0.48997,0.26141,0.44938
3.5784,1.7119,-0.16234,0.82607
3.0349,-0.83959,1.6821,-0.13194
0.7254,1.3546,-0.87573,-0.1472
-0.20497,0.12405,-1.1742,-0.50459
1.4897,-1.9609,-0.27407,-0.38258
0.6715,2.908,-1.0642,-1.0149
0.71724,1.379,1.2347,0.13702
0.48889,-0.46862,-1.5062,0.30182
0.72689,1.0984,-0.15594,-0.92996
-0.30344,-0.27787,0.27607,-0.17683
-1.1471,-0.82359,-1.2507,-1.2038
-1.0689,-1.5771,-0.94796,-0.25394
-0.8095,0.50797,-0.74111,-1.4286
-2.9443,0.28198,-0.50782,-0.020858
0.32519,-1.3337,0.012469,2.1778
-0.75493,1.1275,-3.0292,1.1385
-1.7115,-0.29907,1.2424,0.44133
-0.10224,0.02289,-1.0667,-1.3981
0.31921,-1.7502,0.35032,0.1644
0.31286,-0.28565,-0.029006,0.74773
-0.86488,-0.83137,0.18245,-0.27305
-0.16488,-1.1564,-0.084539,-0.48094
0.62771,-0.53356,1.6039,0.32751
1.0933,-2.0026,0.098348,0.66473
0.077359,-0.020028,-0.030814,0.32321
-1.1135,-0.79816,0.42639,-1.8054
1.5326,-0.13322,-0.23645,-0.60453
-0.76967,-0.71453,2.0237,0.10336
-0.22558,-0.22477,2.2294,0.1136
1.1174,-0.58903,0.33756,-0.90473
-1.0891,-0.29375,1.0001,-0.46771
1.5442,1.6555,0.42272,0.78467
-1.0616,-0.17653,0.06619,-0.28414
2.3505,0.79142,0.65236,-0.08669
-0.6156,-1.332,0.32706,-1.4694
0.74808,-2.3299,1.0826,0.19218
-0.19242,-1.4491,1.0061,-0.82229
-1.4224,-0.13028,-1.3218,-0.28826
0.48819,0.18369,0.92483,0.35006
-0.17738,-0.47615,4.98E-05,-1.8359
-0.19605,0.86202,-0.054919,1.036
1.4193,-1.3617,0.91113,2.4245
0.29158,0.45503,0.59458,0.9594
0.19781,-0.84871,0.3502,-0.31577
1.5877,-0.33489,1.2503,0.42862
-0.80447,0.55278,0.92979,-1.036
0.83509,-1.1176,-0.69036,0.9407
0.21567,0.66014,1.1921,-0.87587
-1.1658,-0.067866,-1.6118,0.31995
-1.148,-0.19522,-0.024462,-0.55829
0.72225,-0.30311,1.0205,-0.57001
0.18733,0.82606,-0.070837,-0.2099
-0.082494,1.527,-2.4863,-1.6989
-0.43897,-0.20971,-2.1924,-0.1178
-1.7947,0.62519,-2.3193,0.69916
